n,r
"(:tag {updated_at: ""2024-04-26T15:33:48.119132700"",active: true,created_at: ""2024-04-26T15:33:48.119132700"",label: ""TAG 46""})",[:TAGGED_BY]
"(:recipe {instructions: ""Fuga repudiandae sed. Quaerat aut totam incidunt voluptatem. Corporis quidem quidem exercitationem. Enim inventore et assumenda dignissimos. Est aut et quidem aut numquam."",updated_at: ""2024-04-26T15:33:49.974991600"",name: ""recipe46"",active: true,created_at: ""2024-04-26T15:33:49.974991600"",description: ""Eos voluptas reiciendis dolor."",ingredients: ""Quis nihil esse soluta laboriosam consequatur.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Fuga repudiandae sed. Quaerat aut totam incidunt voluptatem. Corporis quidem quidem exercitationem. Enim inventore et assumenda dignissimos. Est aut et quidem aut numquam."",updated_at: ""2024-04-26T15:33:49.974991600"",name: ""recipe46"",active: true,created_at: ""2024-04-26T15:33:49.974991600"",description: ""Eos voluptas reiciendis dolor."",ingredients: ""Quis nihil esse soluta laboriosam consequatur.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:47.916237000"",active: true,created_at: ""2024-04-26T15:33:47.916237000"",label: ""TAG 13""})",[:TAGGED_BY]
"(:recipe {instructions: ""Fuga repudiandae sed. Quaerat aut totam incidunt voluptatem. Corporis quidem quidem exercitationem. Enim inventore et assumenda dignissimos. Est aut et quidem aut numquam."",updated_at: ""2024-04-26T15:33:49.974991600"",name: ""recipe46"",active: true,created_at: ""2024-04-26T15:33:49.974991600"",description: ""Eos voluptas reiciendis dolor."",ingredients: ""Quis nihil esse soluta laboriosam consequatur.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.095726000"",active: true,created_at: ""2024-04-26T15:33:48.095726000"",label: ""TAG 41""})",[:TAGGED_BY]
"(:recipe {instructions: ""Odit voluptatem et. Ab sapiente dolor molestias vel suscipit perferendis. Dignissimos nobis sed non sit nisi dicta."",updated_at: ""2024-04-26T15:33:50.006993500"",name: ""recipe47"",created_at: ""2024-04-26T15:33:50.006993500"",ingredients: ""Dignissimos quaerat eum perferendis consequatur in."",active: true,description: ""Ipsam fugiat fugiat quo quam libero incidunt.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Odit voluptatem et. Ab sapiente dolor molestias vel suscipit perferendis. Dignissimos nobis sed non sit nisi dicta."",updated_at: ""2024-04-26T15:33:50.006993500"",name: ""recipe47"",created_at: ""2024-04-26T15:33:50.006993500"",ingredients: ""Dignissimos quaerat eum perferendis consequatur in."",active: true,description: ""Ipsam fugiat fugiat quo quam libero incidunt.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.066162500"",active: true,created_at: ""2024-04-26T15:33:48.066162500"",label: ""TAG 35""})",[:TAGGED_BY]
"(:recipe {instructions: ""Odit voluptatem et. Ab sapiente dolor molestias vel suscipit perferendis. Dignissimos nobis sed non sit nisi dicta."",updated_at: ""2024-04-26T15:33:50.006993500"",name: ""recipe47"",created_at: ""2024-04-26T15:33:50.006993500"",ingredients: ""Dignissimos quaerat eum perferendis consequatur in."",active: true,description: ""Ipsam fugiat fugiat quo quam libero incidunt.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:47.889427100"",active: true,created_at: ""2024-04-26T15:33:47.889427100"",label: ""TAG 10""})",[:TAGGED_BY]
"(:recipe {instructions: ""Nulla officiis perferendis sint sit est nihil qui. Neque vel eaque rerum et libero. Reprehenderit voluptatem voluptatem tempore delectus."",updated_at: ""2024-04-26T15:33:50.040128500"",name: ""recipe48"",created_at: ""2024-04-26T15:33:50.040128500"",ingredients: ""Mollitia sit nisi deleniti iste voluptas."",active: true,description: ""Quisquam cum molestias repellat voluptas.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Nulla officiis perferendis sint sit est nihil qui. Neque vel eaque rerum et libero. Reprehenderit voluptatem voluptatem tempore delectus."",updated_at: ""2024-04-26T15:33:50.040128500"",name: ""recipe48"",created_at: ""2024-04-26T15:33:50.040128500"",ingredients: ""Mollitia sit nisi deleniti iste voluptas."",active: true,description: ""Quisquam cum molestias repellat voluptas.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.391478500"",active: true,created_at: ""2024-04-26T15:33:48.391478500"",label: ""TAG 97""})",[:TAGGED_BY]
"(:recipe {instructions: ""Nulla officiis perferendis sint sit est nihil qui. Neque vel eaque rerum et libero. Reprehenderit voluptatem voluptatem tempore delectus."",updated_at: ""2024-04-26T15:33:50.040128500"",name: ""recipe48"",created_at: ""2024-04-26T15:33:50.040128500"",ingredients: ""Mollitia sit nisi deleniti iste voluptas."",active: true,description: ""Quisquam cum molestias repellat voluptas.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.213135800"",active: true,created_at: ""2024-04-26T15:33:48.213135800"",label: ""TAG 64""})",[:TAGGED_BY]
"(:recipe {instructions: ""Repellendus vel error ex sit. Cumque ducimus maxime numquam voluptatem non laborum deserunt. Veniam rerum esse quasi at est. Assumenda in laborum recusandae aperiam dolorem."",updated_at: ""2024-04-26T15:33:50.071993600"",name: ""recipe49"",active: true,created_at: ""2024-04-26T15:33:50.071993600"",ingredients: ""Quasi quasi tenetur velit in."",description: ""Quas ut et libero et molestiae facilis.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Repellendus vel error ex sit. Cumque ducimus maxime numquam voluptatem non laborum deserunt. Veniam rerum esse quasi at est. Assumenda in laborum recusandae aperiam dolorem."",updated_at: ""2024-04-26T15:33:50.071993600"",name: ""recipe49"",active: true,created_at: ""2024-04-26T15:33:50.071993600"",ingredients: ""Quasi quasi tenetur velit in."",description: ""Quas ut et libero et molestiae facilis.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:47.916237000"",active: true,created_at: ""2024-04-26T15:33:47.916237000"",label: ""TAG 13""})",[:TAGGED_BY]
"(:recipe {instructions: ""Repellendus vel error ex sit. Cumque ducimus maxime numquam voluptatem non laborum deserunt. Veniam rerum esse quasi at est. Assumenda in laborum recusandae aperiam dolorem."",updated_at: ""2024-04-26T15:33:50.071993600"",name: ""recipe49"",active: true,created_at: ""2024-04-26T15:33:50.071993600"",ingredients: ""Quasi quasi tenetur velit in."",description: ""Quas ut et libero et molestiae facilis.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.358480100"",active: true,created_at: ""2024-04-26T15:33:48.358480100"",label: ""TAG 91""})",[:TAGGED_BY]
"(:recipe {instructions: ""Excepturi non hic nihil impedit eos. Vel quia et quidem. Deleniti nulla ut perspiciatis consequuntur voluptas. Neque nemo voluptatibus sit vel beatae reiciendis. Cupiditate voluptatem asperiores velit provident et quas culpa."",updated_at: ""2024-04-26T15:33:50.111153100"",name: ""recipe50"",created_at: ""2024-04-26T15:33:50.111153100"",ingredients: ""Voluptas consequuntur pariatur voluptatem neque."",active: true,description: ""Qui rerum nisi nam illum perspiciatis aliquam aut.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Excepturi non hic nihil impedit eos. Vel quia et quidem. Deleniti nulla ut perspiciatis consequuntur voluptas. Neque nemo voluptatibus sit vel beatae reiciendis. Cupiditate voluptatem asperiores velit provident et quas culpa."",updated_at: ""2024-04-26T15:33:50.111153100"",name: ""recipe50"",created_at: ""2024-04-26T15:33:50.111153100"",ingredients: ""Voluptas consequuntur pariatur voluptatem neque."",active: true,description: ""Qui rerum nisi nam illum perspiciatis aliquam aut.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.119132700"",active: true,created_at: ""2024-04-26T15:33:48.119132700"",label: ""TAG 46""})",[:TAGGED_BY]
"(:recipe {instructions: ""Excepturi non hic nihil impedit eos. Vel quia et quidem. Deleniti nulla ut perspiciatis consequuntur voluptas. Neque nemo voluptatibus sit vel beatae reiciendis. Cupiditate voluptatem asperiores velit provident et quas culpa."",updated_at: ""2024-04-26T15:33:50.111153100"",name: ""recipe50"",created_at: ""2024-04-26T15:33:50.111153100"",ingredients: ""Voluptas consequuntur pariatur voluptatem neque."",active: true,description: ""Qui rerum nisi nam illum perspiciatis aliquam aut.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:47.853153400"",active: true,created_at: ""2024-04-26T15:33:47.853153400"",label: ""TAG 6""})",[:TAGGED_BY]
"(:recipe {instructions: ""Non ut corporis tenetur ut totam veniam totam. Et quia ipsam at enim officiis. Ea quia eius neque dolorem. Exercitationem commodi sint consequatur."",updated_at: ""2024-04-26T15:33:50.150833900"",name: ""recipe51"",created_at: ""2024-04-26T15:33:50.150833900"",ingredients: ""Et quia rerum vel est fugiat qui corrupti."",active: true,description: ""Adipisci vel voluptatibus distinctio aliquam eligendi atque ea.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Non ut corporis tenetur ut totam veniam totam. Et quia ipsam at enim officiis. Ea quia eius neque dolorem. Exercitationem commodi sint consequatur."",updated_at: ""2024-04-26T15:33:50.150833900"",name: ""recipe51"",created_at: ""2024-04-26T15:33:50.150833900"",ingredients: ""Et quia rerum vel est fugiat qui corrupti."",active: true,description: ""Adipisci vel voluptatibus distinctio aliquam eligendi atque ea.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.034307400"",active: true,created_at: ""2024-04-26T15:33:48.034307400"",label: ""TAG 28""})",[:TAGGED_BY]
"(:recipe {instructions: ""Non ut corporis tenetur ut totam veniam totam. Et quia ipsam at enim officiis. Ea quia eius neque dolorem. Exercitationem commodi sint consequatur."",updated_at: ""2024-04-26T15:33:50.150833900"",name: ""recipe51"",created_at: ""2024-04-26T15:33:50.150833900"",ingredients: ""Et quia rerum vel est fugiat qui corrupti."",active: true,description: ""Adipisci vel voluptatibus distinctio aliquam eligendi atque ea.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.246137500"",active: true,created_at: ""2024-04-26T15:33:48.246137500"",label: ""TAG 70""})",[:TAGGED_BY]
"(:recipe {instructions: ""Maiores ut ea consequatur. Amet id aliquam blanditiis commodi esse aut. Sunt nostrum voluptates explicabo. Dolorem aliquam est."",updated_at: ""2024-04-26T15:33:50.192833000"",name: ""recipe52"",created_at: ""2024-04-26T15:33:50.192833000"",ingredients: ""Qui aut tenetur eos id soluta dolor qui."",active: true,description: ""Doloremque et cumque dolor dolore est repellendus quas.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Maiores ut ea consequatur. Amet id aliquam blanditiis commodi esse aut. Sunt nostrum voluptates explicabo. Dolorem aliquam est."",updated_at: ""2024-04-26T15:33:50.192833000"",name: ""recipe52"",created_at: ""2024-04-26T15:33:50.192833000"",ingredients: ""Qui aut tenetur eos id soluta dolor qui."",active: true,description: ""Doloremque et cumque dolor dolore est repellendus quas.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.150124600"",active: true,created_at: ""2024-04-26T15:33:48.150124600"",label: ""TAG 52""})",[:TAGGED_BY]
"(:recipe {instructions: ""Maiores ut ea consequatur. Amet id aliquam blanditiis commodi esse aut. Sunt nostrum voluptates explicabo. Dolorem aliquam est."",updated_at: ""2024-04-26T15:33:50.192833000"",name: ""recipe52"",created_at: ""2024-04-26T15:33:50.192833000"",ingredients: ""Qui aut tenetur eos id soluta dolor qui."",active: true,description: ""Doloremque et cumque dolor dolore est repellendus quas.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.268554200"",active: true,created_at: ""2024-04-26T15:33:48.268554200"",label: ""TAG 74""})",[:TAGGED_BY]
"(:recipe {instructions: ""Excepturi cumque odit quis unde consectetur. Quod eum laborum harum vitae placeat soluta. Sapiente aperiam eveniet sint quam tempore. Ullam dicta beatae et deserunt. Et dolores pariatur accusamus repudiandae et molestiae commodi."",updated_at: ""2024-04-26T15:33:50.226313800"",name: ""recipe53"",created_at: ""2024-04-26T15:33:50.226313800"",ingredients: ""Tenetur autem sunt libero et."",description: ""Et aliquid aut tempore."",active: true})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Excepturi cumque odit quis unde consectetur. Quod eum laborum harum vitae placeat soluta. Sapiente aperiam eveniet sint quam tempore. Ullam dicta beatae et deserunt. Et dolores pariatur accusamus repudiandae et molestiae commodi."",updated_at: ""2024-04-26T15:33:50.226313800"",name: ""recipe53"",created_at: ""2024-04-26T15:33:50.226313800"",ingredients: ""Tenetur autem sunt libero et."",description: ""Et aliquid aut tempore."",active: true})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:47.826482400"",active: true,created_at: ""2024-04-26T15:33:47.826482400"",label: ""TAG 3""})",[:TAGGED_BY]
"(:recipe {instructions: ""Excepturi cumque odit quis unde consectetur. Quod eum laborum harum vitae placeat soluta. Sapiente aperiam eveniet sint quam tempore. Ullam dicta beatae et deserunt. Et dolores pariatur accusamus repudiandae et molestiae commodi."",updated_at: ""2024-04-26T15:33:50.226313800"",name: ""recipe53"",created_at: ""2024-04-26T15:33:50.226313800"",ingredients: ""Tenetur autem sunt libero et."",description: ""Et aliquid aut tempore."",active: true})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.171122800"",active: true,created_at: ""2024-04-26T15:33:48.171122800"",label: ""TAG 56""})",[:TAGGED_BY]
"(:recipe {instructions: ""Sint qui et libero doloribus itaque et nihil. Impedit occaecati possimus non sit nihil occaecati. Et et consequuntur occaecati fugiat consectetur. Et omnis quidem voluptatibus. Dolor maxime voluptas ut."",updated_at: ""2024-04-26T15:33:50.260883700"",name: ""recipe54"",created_at: ""2024-04-26T15:33:50.260883700"",ingredients: ""Dolor rerum praesentium."",active: true,description: ""Aspernatur nihil minus nisi eaque officia accusamus.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
